English Title	Original Title	Director/Creator	Year	Format	Languages	Countries	Platforms	Summary	Tags	IMDb Tag Number
Silence	Nishabdham	Hemant Madhukar	2020	Feature	Telugu; Tamil	India 		Police investigate the murder of a man, and Sakshi, a deaf and mute artist and her husband are related to it. 	crime/mystery; drama; accessibility; survival narrative; disability; revenge/vigilante 	
The Silence		Fiona Seres	2010	Series	British Sign Language (BSL); English	UK		A young woman (Genevieve Barr) adapting to her new cochlear implants witnesses a murder	cochlear implant; crime/mystery; deaf actor; deaf victim/witness; drama	
The Silence		John R. Leonetti	2019	Feature	American Sign Language (ASL); English	Canada; Germany	Netflix	Another horror movie about monsters who hunt by sound released the year after A Quiet Place and roundly criticised for casting a hearing actor in the main deaf role	apocalypse; character survives dangerous sound thanks to deafness; hearing actor in deaf role; horror; sci-fi/fantasy; sign language used for hiding/secrets	
Silence and Darkness		Barak Barkan	2019	Feature	English	US		Story of a blind sister and deaf sister who have been collectively misunderstanding their father's mental health situation	deaf and blind character pairing; family drama; sibling relationship	
Silenced	Dokani	Hwang Dong-hyuk	2011	Feature	Korean; Korean Sign Language (KSL)	South Korea		Korean drama following a teacher in a Deaf school where years of sexual abuse occurred	deaf child; deaf victim/witness; hearing teacher; learning sign; School for the Deaf; school/university setting	
Silent			2022	Series	Japanese; Japanese Sign Language (JSL)	South Korea		J-drama about high school sweethearts and music lovers who meet again 8 years later, after he has been deafened	deaf musician/dancer; deaf-hearing relationship; drama; music; romance	
The Silent Chaos		Antonio Spano	2013	Documentary	Francophone African Sign Language (LSAF); Swahili	Italy		Documentary about the marginalisation and persecution of deaf people in the post-war Democratic Republic of Congo	accessibility	
The Silent Child		Chris Overton	2017	Short	British Sign Language (BSL); English	UK	YouTube	Oscar-winning short in which a hearing woman tutors a young deaf girl in British Sign Language (BSL) despite her hearing family's reticence 	deaf actor; deaf child; deaf child hearing parent; deaf director; deaf writer/producer; oralism (repression of sign)	
Silent Days		Pavol Pekarcik	2019	Documentary	Romanian Sign Language (LSR); Romany; Slovak	Czech Republic; Slovakia		Documentary about four deaf boys living in Roma communities	deaf child; deaf child hearing parent	
The Silent Forest	无声	Chen-Nien Ko	2020	Feature	Mandarin	Taiwan		Taiwanese drama in which a deaf boy at special needs school witnesses sexual abuse	deaf child; deaf victim/witness; disability; school/university setting	
The Silent Hour		Brad Anderson	2024	Feature	English; American Sign Language (ASL)  	United States		A police dectective with a hearing loss and a deaf murder witness must work together to outsmart killers. 	action; crime/mystery; deafened by accident/violence; d/Deaf witness	tt22874848
The Silent Natural		David Risotto	2019	Feature	English	US		Biopic about William 'Dummy' Hoy, who in the C19th became the first deaf major league baseball player	deaf sporting excellence; sports	
Silent Notes		Kiki Tsakalakis	2020	Short	American Sign Language (ASL); English	US		In a lonely search for community, a white deaf man (John McGinty) wants to join a black Baptist choir	deaf actor; deaf director; deaf musician/dancer; deaf-hearing relationship; isolation; music	
Silent Notes		Toni Comas	2024	Feature	American Sign Language (ASL); English	US		A man (Daniel Durant) experiencing rapid hearing loss discovers his insurance won't cover a cochlear implantation and must find the money another way	adapting to deafness; cochlear implant; deaf actor; deaf-hearing relationship; deaf suspect/villain; disability; drama; learning sign; progressive hearing loss; romance	
The Silent War	Sordo	Alfonso Cortes-Cavanillas	2019	Feature	Spanish	Spain		A soldier in the Spanish Revolution of 1936 is deafened and must survive manhunt with his new deafness	adapting to deafness; deafened soldier; survival narrative	
Silent Witness			2015, 2021	Series	British Sign Language (BSL); English	UK	BBC	BBC crime drama includes a number of deaf actors: Brian Duffy in two 2015 episodes (Sniper's Nest Part 1 and 2) and Rhiannon Jones in a recurring role in the 2021 season (series duration 1996-)	crime/mystery; deaf actor; drama	
The Simpsons		Mike B. Anderson; Chris Clements	2022	Series	American Sign Language (ASL); English	US		Season 33 Episode 17, "The Sound of Bleeding Gums' is the first Simpsons episode with American Sign Language (ASL) ever; Lisa meets the deaf son (John Autry II) of her late saxophone mentor, Bleeding Gums Murphy (series duration 1989-)	deaf actor; music	
Since August		Diana Zuros	2021	Feature	American Sign Language (ASL); English	US		A recovering hearing addict spies on and befriends a young deaf mother, includes deaf actors Antoinette Abbamonte and Martina Bell	Coda; deaf-hearing relationship; family drama; friendship	
Since the First Day We Met		Saul Singleton	2017	Short	American Sign Language (ASL)	US		A deaf boy with a secret is pushed into hearing community	deaf-hearing relationship; all/most dialogue in sign language	
Slot		Mark G. Wood	2013	Feature	American Sign Language (ASL)	US		An American Sign Language (ASL)-only horror short about a research project gone wrong	deaf director; deaf writer/producer; all/most dialogue in sign language; horror; survival narrative	
Slow	Tu man nieko neprimeni	Marija Kavtaradzė	2023	Feature	English; Lithuanian; Lithuanian Sign Language (LGK)	Lithuania; Spain; Sweden		Romantic drama between heterosexual woman who teaches dance to deaf children and asexual Lithuanian Sign Language (LGK) interpreter who interprets her classes	deaf child; deaf musician/dancer; drama; hearing teacher; romance; 	
Small, Slow But Steady	Keiko, me wo sumasete	Sho Miyake	2022	Feature	Japanese; Japanese Sign Language (JSL)	Japan		A deaf boxer cannot practice as her studio closes during the pandemic	deaf sporting excellence; hearing actor in deaf role; sports	
Small World		Brian Duffy; Ace Mahbaz	2014-16	Series	British Sign Language (BSL)	UK		A five-episode housemates sit com entirely in British Sign Language (BSL), includes Ace Mahbaz and Brian Duffy	comedy; deaf actor; deaf director; deaf writer/producer; all/most dialogue in sign language	
Small World		Brian Duffy; Ace Mahbaz	2016	Feature	British Sign Language (BSL)	UK		The film version of the British Sign Language (BSL) TV series of the same name	comedy; deaf actor; deaf director; deaf writer/producer; all/most dialogue in sign language	
Snaps		Samuel Dore	2021	Documentary	British Sign Language (BSL); English	UK		"Freestyle", the first episode of this documentary mini-series about seven unique talents, is about Ella (Jasmine Wilkins) who dreams of swimming in Deaflympics	accessibility; deaf child; sports	
The Snow Queen in German Sign Language	Die Schneekönigin in deutscher Gebärdensprache	Britt Dunse	2011	Children's short	German Sign Language (DGS)	Germany		Children's German Sign Language animated rendition of the fairy tale The Snow Queen	all/most dialogue in sign language	
Snowden		Oliver Stone	2016	Feature	American Sign Language (ASL); English; Russian	France; Germany; UK; US		This Edward Snowden whistleblower biopic includes several languages, including American Sign Language (ASL) and Russian	biopic; drama; sign language used for hiding/secrets	
So Happy to Meet You		Ashley Van Buren	2020	Short	English	US	URL	Documentary about a woman's (MJ Grant) experience of caring for her ageing deaf mother as she develops dementia	accessibility; deaf-hearing relationship; disability	
The Society		Christopher Keyser	2019	Series	American Sign Language (ASL); English	US	Netflix	A society of teens must survive in their home town after the rest of the population mysteriously disappears, includes a deaf character in signing friendship group (Sean Berdy)	deaf actor; friendship; queer; survival narrative	
Sofie		Ella Jane New	2017	Short	American Sign Language (ASL)	US		Short in which a deaf teen (Martina Bell) sneaks out to party	deaf actor; all/most dialogue in sign language; drama	
Song of Silence	Yang mei zhou	Zhuo Chen	2012	Feature	Mandarin	China		Story of a deaf woman's experience living in a Chinese village, where she chooses to spend her days with her disabled uncle	deaf-hearing relationship; disability; family drama	
Sophia		Kennel Rogis	2013	Short	Brazilian Sign Language (LSB); Portuguese	Brazil		Short about a deaf black Brazilian girl	drama	
Sorda		Eva Libertad	2021	Short	Spanish; Spanish Sign Language (LSE)	Spain		The short film precursor to 2025 feature Deaf/Sorda, about communication problems between a deaf wife (Miriam Garlo) and hearing husband as they consider having a child	accessibility; born deaf; Coda; deaf actor; Deaf Culture; deaf-hearing relationship; disability; drama; family drama; isolation; learning sign; medical drama; oralism (repression of sign)	
Soul to Keep		David Allensworth and Moniere	2018	Feature	American Sign Language (ASL); English	US	Prime	Demonic possession horror film in which most actors use American Sign Language (ASL), includes Sandra Mae Frank	deaf actor; Deaf Gain; horror	
The Sound of Fear		Colin Campbell	2016	Short	American Sign Language (ASL); English	US		A young deaf woman (Sandra Mae Frank) witnesses a group of drug addicts kill a sheriff, while trying to escape struggles to get people to understand her situation	deaf actor; deaf victim/witness; hearing stalker/killer; horror; survival narrative	
The Sound of Metal		Darius Marder	2019	Feature	American Sign Language (ASL); English	US	Prime	Drama in which a heavy metal drummer progressively loses his hearing; while learning American Sign Language (ASL) he saves for a cochlear implant	adapting to deafness; cochlear implant; deaf musician/dancer; deaf-hearing relationship; deafened by sound exposure; drama; hearing actor in deaf role; lipreading, inc. magical; learning sign; music	
Sound of Space		Tyler Morgan	2021	Short	English	Canada		An astronaut on a journey to visit a space colony loses his hearing and possibly sanity	adapting to deafness; deafened by accident/violence; horror	
Sound of Violence		Alex Noyer	2021	Feature	English	Finland; US		Horror film in which deaf woman Jasmin recovers her hearing while witnessing her family's murder and has since been coded to find sounds of suffering erotic	deaf villain/suspect; deaf victim/witness; horror	
Sound Off		Spaceship and Koura Linda	2018	Short	American Sign Language (ASL); English	US		Silent short about a dancer who is deafened in an accident then learns to dance again	adapting to deafness; deaf musician/dancer; deafened by accident/violence; drama	
Sounds for Mazin	Geluiden voor Mazin	Ingrid Kamerling	2013	Documentary	Dutch; Dutch Sign Language (NGT)	The Netherlands		A young deaf man plans for his cochlear implant operation	cochlear implant; drama	
Soundtrack		Neerav Ghosh	2011	Feature	English; Hindi	India		Indian remake of It's All Gone Pete Tong (in which an electro DJ loses his hearing from sound exposure)	adapting to deafness; deaf musician/dancer; deafened by sound exposure; music; vibrations	
